id,participant_id,trial_index,case_id,case_position,block,protocol,difficulty_tier,difficulty_score,y_true,pred_prob,model_correct,model_optimal,decision_init,prob_estimate_init,time_to_init_ms,decision_final,prob_estimate_final,confidence,time_to_final_ms,total_trial_ms,created_at
04989abb-bfea-4c45-af47-5ffe7d5d9147,18009e86-8159-4e38-a0e8-7b6fcd393ede,11,932198,12,block_2,no_ai,hard,0.744436,1,0.923224,1,1,,,,0,0.81,,4263,4263,2026-04-25T15:57:39.416121+00:00
751d8e36-b548-4a06-b6c6-f67e66966f53,18009e86-8159-4e38-a0e8-7b6fcd393ede,12,1121112,10,block_2,no_ai,medium,0.343912,0,0.188803,1,0,,,,1,0.71,,3869,3869,2026-04-25T15:57:43.601585+00:00
7df30a33-b385-4444-a78f-201d96facb23,18009e86-8159-4e38-a0e8-7b6fcd393ede,13,1100864,14,block_3,human_first,easy,0.141881,0,0.101631,1,1,1.0,0.76,4295.0,1,0.76,,4726,9021,2026-04-25T15:57:54.577721+00:00
52936b86-fb28-466a-8040-ae389b4e172e,18009e86-8159-4e38-a0e8-7b6fcd393ede,14,898146,13,block_3,human_first,easy,0.325613,1,0.397059,0,0,0.0,0.82,3870.0,0,0.82,,3248,7118,2026-04-25T15:58:02.058232+00:00
18bb4581-f798-4a1a-8e77-1194476c2400,18009e86-8159-4e38-a0e8-7b6fcd393ede,15,819343,16,block_3,human_first,medium,0.505044,0,0.210035,1,0,0.0,0.79,3453.0,0,0.79,,5137,8590,2026-04-25T15:58:10.879647+00:00
9ee97121-c824-4c73-bc82-ee483e35a3ba,18009e86-8159-4e38-a0e8-7b6fcd393ede,16,835430,15,block_3,human_first,medium,0.529992,1,0.295875,0,0,0.0,0.8,3456.0,0,0.8,,4682,8138,2026-04-25T15:58:19.373459+00:00
736e67a6-a550-4b8b-8b2a-e81e8d34ed34,18009e86-8159-4e38-a0e8-7b6fcd393ede,17,1176206,17,block_3,human_first,hard,0.781741,0,0.778542,0,1,0.0,0.61,3918.0,0,0.61,,3433,7351,2026-04-25T15:58:27.063519+00:00
af295d6f-ebfc-41cc-80be-c7545b113cba,18009e86-8159-4e38-a0e8-7b6fcd393ede,18,1258386,18,block_3,human_first,hard,0.781741,1,0.857772,1,1,0.0,0.71,4044.0,0,0.71,,3486,7530,2026-04-25T15:58:34.935991+00:00
03451b51-4238-4dfb-a01b-e3b075dbfe48,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,-2,946400,-2,practice,ai_first,easy,0.11361,0,0.059221,1,1,,,,1,0.62,,18952,18952,2026-04-25T16:18:44.218585+00:00
87109bd0-867a-44a5-9b5b-48834378311c,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,-1,934189,-1,practice,ai_first,hard,0.744436,1,0.623978,1,1,,,,1,0.7,,3145,3145,2026-04-25T16:18:49.052242+00:00
434ebb04-d3fd-4eb6-9595-c2fc2325de64,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,1,819669,3,block_1,no_ai,medium,0.513203,1,0.234348,0,0,,,,0,0.74,,4209,4209,2026-04-25T16:18:56.281608+00:00
18262e6f-4b92-48e6-9e7e-15d7786aab42,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,2,844888,1,block_1,no_ai,easy,0.270624,1,0.333333,0,0,,,,0,0.8,,4083,4083,2026-04-25T16:19:00.688275+00:00
1989cc97-8161-41d9-9086-cf32e410a4c2,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,3,1183988,2,block_1,no_ai,easy,0.13108,0,0.054726,1,1,,,,1,0.79,,4274,4274,2026-04-25T16:19:05.267238+00:00
5d13c200-61cc-4b31-af33-61a598835da6,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,4,1263657,6,block_1,no_ai,hard,0.744436,1,0.94613,1,1,,,,0,0.78,,3669,3669,2026-04-25T16:19:09.343027+00:00
eeeb573e-33b7-4d42-a6bd-b0f69f0512ba,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,5,819289,4,block_1,no_ai,medium,0.477809,0,0.168642,1,0,,,,0,0.84,,4296,4296,2026-04-25T16:19:13.990077+00:00
a349caf5-f2f7-4fb1-86a2-a5065ad5e708,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,6,1215065,5,block_1,no_ai,hard,0.744436,0,0.899569,0,1,,,,0,0.86,,3601,3601,2026-04-25T16:19:17.897936+00:00
